text,flag
address,contact_words_eng
alley,contact_words_eng
av,contact_words_eng
avda,contact_words_eng
ave,contact_words_eng
avenida,contact_words_eng
avenue,contact_words_eng
blvd,contact_words_eng
cam,contact_words_eng
caminito,contact_words_eng
camino,contact_words_eng
cell,contact_words_eng
cer,contact_words_eng
cerrada,contact_words_eng
cir,contact_words_eng
circulo,contact_words_eng
cmt,contact_words_eng
col,contact_words_eng
colonia,contact_words_eng
ct,contact_words_eng
email,contact_words_eng
e-mail,contact_words_eng
entrada,contact_words_eng
expressway,contact_words_eng
expwy,contact_words_eng
facebook,contact_words_eng
fb,contact_words_eng
handle,contact_words_eng
lane,contact_words_eng
link,contact_words_eng
linked,contact_words_eng
linkedin,contact_words_eng
ln,contact_words_eng
mobile,contact_words_eng
parkway,contact_words_eng
paseo,contact_words_eng
phone,contact_words_eng
pkwy,contact_words_eng
pl,contact_words_eng
pla,contact_words_eng
placita,contact_words_eng
plaza,contact_words_eng
plz,contact_words_eng
po,contact_words_eng
profile,contact_words_eng
profiles,contact_words_eng
pso,contact_words_eng
rancho,contact_words_eng
rch,contact_words_eng
rd,contact_words_eng
rte,contact_words_eng
rue,contact_words_eng
skype,contact_words_eng
snapchat,contact_words_eng
sq,contact_words_eng
telephone,contact_words_eng
ter,contact_words_eng
terrace,contact_words_eng
tr,contact_words_eng
tumblr,contact_words_eng
twitter,contact_words_eng
url,contact_words_eng
vereda,contact_words_eng
vis,contact_words_eng
vista,contact_words_eng
website,contact_words_eng
youtube,contact_words_eng
alley,contact_words_sp
av,contact_words_sp
avda,contact_words_sp
ave,contact_words_sp
avenida,contact_words_sp
calle,contact_words_sp
cam,contact_words_sp
caminito,contact_words_sp
canal,contact_words_sp
cel,contact_words_sp
celular,contact_words_sp
cer,contact_words_sp
cerrada,contact_words_sp
chat,contact_words_sp
cir,contact_words_sp
circulo,contact_words_sp
cmt,contact_words_sp
col,contact_words_sp
col.,contact_words_sp
colonia,contact_words_sp
conocer,contact_words_sp
conocerte,contact_words_sp
conozco,contact_words_sp
correo,contact_words_sp
ct,contact_words_sp
direccion,contact_words_sp
dirección,contact_words_sp
dr,contact_words_sp
email,contact_words_sp
e-mail,contact_words_sp
enlace,contact_words_sp
entrada,contact_words_sp
esq,contact_words_sp
expressway,contact_words_sp
expwy,contact_words_sp
facebook,contact_words_sp
fb,contact_words_sp
link,contact_words_sp
linkedin,contact_words_sp
llamandome,contact_words_sp
llamandote,contact_words_sp
llamarme,contact_words_sp
llamarte,contact_words_sp
movil,contact_words_sp
móvil,contact_words_sp
pagina,contact_words_sp
página,contact_words_sp
parkway,contact_words_sp
perfil,contact_words_sp
perfiles,contact_words_sp
pkwy,contact_words_sp
pl,contact_words_sp
pla,contact_words_sp
placita,contact_words_sp
plaza,contact_words_sp
plz,contact_words_sp
po,contact_words_sp
pso,contact_words_sp
rancho,contact_words_sp
rch,contact_words_sp
rd,contact_words_sp
red,contact_words_sp
route,contact_words_sp
rte,contact_words_sp
rue,contact_words_sp
sitio,contact_words_sp
skype,contact_words_sp
snapchat,contact_words_sp
tel,contact_words_sp
telefono,contact_words_sp
teléfono,contact_words_sp
ter,contact_words_sp
terraza,contact_words_sp
tr,contact_words_sp
tumblr,contact_words_sp
twitter,contact_words_sp
vereda,contact_words_sp
vis,contact_words_sp
vista,contact_words_sp
web,contact_words_sp
youtube,contact_words_sp
coming your way,contact_phr_eng
face book,contact_phr_eng
find me,contact_phr_eng
finding me,contact_phr_eng
follow me,contact_phr_eng
found me,contact_phr_eng
friend request,contact_phr_eng
insta gram,contact_phr_eng
meet you,contact_phr_eng
meeting you,contact_phr_eng
message me,contact_phr_eng
message you,contact_phr_eng
snap chat,contact_phr_eng
to call,contact_phr_eng
tweet,contact_phr_eng
www,contact_phr_eng
you tube,contact_phr_eng
youtube,contact_phr_eng
call you,contact_phr_eng
facebook,contact_phr_eng
enviame,contact_phr_sp
envíame,contact_phr_sp
me encuentras,contact_phr_sp
te encuentro,contact_phr_sp
llamar a,contact_phr_sp
te llamo,contact_phr_sp
te llamare,contact_phr_sp
te llamaré,contact_phr_sp
te conozco,contact_phr_sp
me conoces,contact_phr_sp
insta gram,contact_phr_sp
face book,contact_phr_sp
you tube,contact_phr_sp
snap chat,contact_phr_sp
tweet,contact_phr_sp
conociendote,contact_phr_sp
come and live with me,visit_phr
come and live with us,visit_phr
come live with me,visit_phr
come live with us,visit_phr
come see,visit_phr
come to america,visit_phr
come to the us,visit_phr
look at dates,visit_phr
look at times,visit_phr
me veas,visit_phr
me veras,visit_phr
me verás,visit_phr
me visitas,visit_phr
me visites,visit_phr
nos conocimos,visit_phr
nos vemos,visit_phr
nos veremos,visit_phr
nuestra visita,visit_phr
our meeting,visit_phr
our visit,visit_phr
pagamos una visita,visit_phr
pagar una visita,visit_phr
pagarte una visita,visit_phr
pago una visita,visit_phr
plan to visit,visit_phr
planeo en visitar,visit_phr
planes de visitar,visit_phr
quedar con nosotras,visit_phr
quedar con nosotros,visit_phr
quedar conmigo,visit_phr
see each other,visit_phr
seeing me,visit_phr
stay with us,visit_phr
stay with you,visit_phr
te veamos,visit_phr
te vere,visit_phr
te veré,visit_phr
te visite,visit_phr
te visité,visit_phr
te visito,visit_phr
travel to the us,visit_phr
vendré,visit_phr
vendre a,visit_phr
vendremos,visit_phr
vengo a,visit_phr
verme,visit_phr
verte,visit_phr
visit me,visit_phr
visit the us,visit_phr
visit to america,visit_phr
visit us,visit_phr
visit you,visit_phr
visitandonos,visit_phr
visitandote,visit_phr
visitarme,visit_phr
visitarte,visit_phr
visiting us,visit_phr
bought,gift_words_eng
buying,gift_words_eng
clothing,gift_words_eng
dollar,gift_words_eng
dollars,gift_words_eng
fee,gift_words_eng
fees,gift_words_eng
gift,gift_words_eng
gifts,gift_words_eng
money,gift_words_eng
monies,gift_words_eng
packages,gift_words_eng
package,gift_words_eng
paid,gift_words_eng
present,gift_words_eng
presents,gift_words_eng
purchase,gift_words_eng
purchased,gift_words_eng
purchases,gift_words_eng
size,gift_words_eng
delivered,gift_words_eng
delivery,gift_words_eng
gesture,gift_words_eng
compra,gift_words_sp
comprado,gift_words_sp
compramos,gift_words_sp
comprando,gift_words_sp
compras,gift_words_sp
compre,gift_words_sp
compré,gift_words_sp
compro,gift_words_sp
cuota,gift_words_sp
cuotas,gift_words_sp
dinero,gift_words_sp
dolar,gift_words_sp
dólar,gift_words_sp
dolares,gift_words_sp
dólares,gift_words_sp
paquete,gift_words_sp
plata,gift_words_sp
regalamos,gift_words_sp
regalar,gift_words_sp
regale,gift_words_sp
regalé,gift_words_sp
regalo,gift_words_sp
regalos,gift_words_sp
ropa,gift_words_sp
tamaño,gift_words_sp
envía,gift_words_sp
enviamos,gift_words_sp
enviandote,gift_words_sp
envie,gift_words_sp
envié,gift_words_sp
talla,gift_words_sp
tallas,gift_words_sp
regalito,gift_words_sp
gesto,gift_words_sp
bought you,gift_phr_eng
mailed you,gift_phr_eng
mail you,gift_phr_eng
te traje,gift_phr_sp
quiero mandar,gift_phr_sp
quisiera mandar,gift_phr_sp
quiero enviar,gift_phr_sp
quisiera envivar,gift_phr_sp
allah,religion_words_eng
alleluia,religion_words_eng
altar,religion_words_eng
